exp_id	exp_idx	timestamp	optimizer	lr	time_embed	attention_type	d_state	d_conv	total_params_M	trainable_params_M	train_steps	training_seconds	total_seconds	final_train_loss	val_loss	peak_vram_mb	gb_acc_human_enhancers_cohn	gb_acc_human_enhancers_ensembl	gb_acc_human_ensembl_regulatory	gb_acc_human_nontata_promoters	gb_acc_human_ocr_ensembl	gb_acc_demo_coding_vs_intergenomic_seqs	gb_acc_demo_human_or_worm	gb_acc_dummy_mouse_enhancers_ensembl
mamba2_muon_lr002	0	2026-04-17T02:19:06.875337	muon	0.02	additive	mamba2	64	4	136.6	136.6	6295	7200.0	7365.0	1.157338	0.013686	7456	0.621000	0.607430	0.469469	nan	0.563000	0.757000	0.596000	0.675000
mamba2_muon_lr01	1	2026-04-17T02:28:15.989671	muon	0.01	additive	mamba2	64	4	136.6	136.6	1321	7204.8	7914.0	0.586960	0.067339	7456	0.625000	0.668675	0.458458	nan	0.565000	0.768000	0.648000	0.625000
mamba2_muon_lr005	2	2026-04-17T04:21:55.438294	muon	0.005	additive	mamba2	64	4	136.6	136.6	6282	7201.1	7365.7	1.094048	0.025009	7456	0.624000	0.684739	0.516517	nan	0.559000	0.783000	0.692000	0.683333
mamba2_muon_lr03	3	2026-04-17T04:40:44.240114	muon	0.03	additive	mamba2	64	4	136.6	136.6	1222	7201.6	7945.4	1.290384	0.023968	7456	0.515000	0.569277	0.477477	nan	0.524000	0.566000	0.491000	0.641667
mamba2_muon_state128	4	2026-04-17T06:25:09.323215	muon	0.01	additive	mamba2	128	4	138.0	138.0	6108	7200.7	7391.1	1.333793	0.018485	7519	0.641000	0.663655	0.437437	nan	0.543000	0.729000	0.652000	0.700000
mamba2_muon_adaln	6	2026-04-17T06:53:22.759181	muon	0.01	adaln	mamba2	64	4	142.4	142.4	1206	7201.7	7947.4	1.244023	0.019035	7885	0.654000	0.666667	0.487487	nan	0.582000	0.798000	0.638000	0.666667
mamba2_adamw	7	2026-04-17T08:27:44.495424	adamw	0.0003	additive	mamba2	64	4	136.6	136.6	7093	7189.1	7352.2	0.931084	0.053839	7800	0.633000	0.690763	0.505506	nan	0.572000	0.807000	0.770000	0.691667
mamba2_muon_adaln_lr005	8	2026-04-17T09:05:56.496678	muon	0.005	adaln	mamba2	64	4	142.4	142.4	1202	7200.6	7950.9	1.270224	0.062779	7885	0.643000	0.698795	0.454454	nan	0.536000	0.780000	0.644000	0.716667
hybrid_mamba2_muon	9	2026-04-17T10:30:20.359831	muon	0.01	additive	hybrid_mamba2	64	4	125.0	125.0	6974	7200.3	7353.0	1.002048	0.021297	6893	0.640000	0.693775	0.458458	nan	0.565000	0.774000	0.662000	0.658333
mamba2_muon_freeze10	11	2026-04-17T12:31:57.089296	muon	0.01	additive	mamba2	64	4	136.6	78.1	7067	7130.5	7293.8	1.096142	0.000372	6363	0.613000	0.648594	0.420420	nan	0.541000	0.767000	0.611000	0.666667
mamba2_muon_long	10	2026-04-17T13:20:21.269130	muon	0.01	additive	mamba2	64	4	136.6	136.6	2336	14403.4	15261.8	1.277993	0.013847	7456	0.634000	0.682731	0.480480	nan	0.573000	0.769000	0.647000	0.708333
retnet_muon	12	2026-04-17T13:23:09.499973	muon	0.01	additive	retnet	64	4	146.4	146.4	2411	2909.4	3069.6	1.326072	0.060601	8776	0.618000	0.680723	0.501502	nan	0.579000	0.727000	0.660000	0.700000
performer_muon	13	2026-04-17T15:34:22.249805	muon	0.01	additive	performer	64	4	123.3	123.3	1538	7200.2	8038.1	1.204985	0.040596	12292	0.609000	0.662651	0.486486	nan	0.578000	0.769000	0.648000	0.683333
